name,developer,publisher,release date,rating,24hour-peak-user,
Dead by Daylight,Behaviour Digital Inc.,Behaviour Digital Inc.,"June 14, 2016 ??07:00:00 UTC (4 years ago)",? 78,"30,236",
Stardew Valley,ConcernedApe,ConcernedApe,"February 26, 2016 ??17:59:00 UTC (4 years ago)",? 96,"29,524",
Hearts of Iron IV,Paradox Development Studio,Paradox Interactive,"June 6, 2016 ??15:57:00 UTC (4 years ago)",? 89,"26,150",
Sid Meier's Civilization V,Store Name Sid Meier's Civilization® V,"Developer
Firaxis Games","September 21, 2010 ??17:00:00 UTC (9 years ago)",? 94,"26,195",
PAYDAY 2,OVERKILL - a Starbreeze Studio.,Starbreeze Publishing AB,"August 13, 2013 ??11:15:00 UTC (6 years ago)",? 85,"24,750",
Wallpaper Engine,Wallpaper Engine Team,Wallpaper Engine Team,"November 16, 2018 ??18:03:05 UTC (about a year ago)",? 96,"23,422",
Headsnatchers,IguanaBee,Iceberg Interactive,"November 7, 2019 ??16:59:45 UTC (2 months ago)",??57,"23,574",
World of Tanks Blitz,Wargaming Group Limited,Wargaming Group Limited,"November 9, 2016 ??16:59:00 UTC (3 years ago)",? 74,"27,120",
Football Manager 2019,Sports Interactive,SEGA,"November 2, 2018 ??15:00:00 UTC (about a year ago)",? 82,"21,950",
Unturned,Smartly Dressed Games,Smartly Dressed Games,"July 7, 2017 ??16:01:00 UTC (3 years ago)",? 89,"26,691",
7 Days to Die,The Fun Pimps,The Fun Pimps Entertainment LLC,"December 13, 2013 ??19:31:00 UTC (6 years ago)",? 80,"20,994",
Paladins,Store Name Paladins®,"Developer
Evil Mojo Games","May 8, 2018 ??14:07:00 UTC (2 years ago)",? 84,"23,713",
War Thunder,Gaijin Entertainment,Gaijin Entertainment,"August 15, 2013 ??12:22:00 UTC (6 years ago)",? 79,"20,507",
DayZ,Bohemia Interactive,Bohemia Interactive,"December 13, 2018 ??18:00:00 UTC (about a year ago)",? 63,"20,849",
Don't Starve Together,Klei Entertainment,Klei Entertainment,"April 21, 2016 ??16:58:00 UTC (4 years ago)",? 95,"20,271",
The Elder Scrolls V: Skyrim Special Edition,Bethesda Game Studios,Bethesda Softworks,"October 28, 2016 ??00:00:00 UTC (3 years ago)",? 81,"19,577",
NBA 2K20,Visual Concepts,2K,"September 6, 2019 ??17:00:00 UTC (4 months ago)",? 38,"20,037",
Left 4 Dead 2,Valve,Valve,"November 17, 2009 (10 years ago)",? 95,"18,660",
Europa Universalis IV,Paradox Development Studio,Paradox Interactive,"August 13, 2013 (6 years ago)",? 84,"18,266",
Fallout 4,Bethesda Game Studios,Bethesda Softworks,"November 10, 2015 ??08:00:00 UTC (4 years ago)",? 73,"18,120",
Arma 3,Bohemia Interactive,Bohemia Interactive,"September 12, 2013 ??07:02:00 UTC (6 years ago)",? 89,"20,700",
Cities: Skylines,Colossal Order Ltd.,Paradox Interactive,"March 10, 2015 ??15:59:00 UTC (5 years ago)",? 91,"17,598",
The Elder Scrolls Online,Store Name The Elder Scrolls® Online,"Developer
Zenimax Online Studios","April 4, 2014 (6 years ago)",? 76,"19,009",
?�落与弯?�,Store Name Sands of Salzaar,"Developer
汉�??�鼠Han-Squirrel Studio","January 3, 2020 ??02:28:20 UTC (9 days ago)",? 81,"17,503",
Age of Empires II: Definitive Edition,Forgotten Empires,Xbox Game Studios,"November 14, 2019 ??16:00:00 UTC (2 months ago)",? 88,"16,578",
Farming Simulator 19,Giants Software,Focus Home Interactive,"November 19, 2018 ??23:00:00 UTC (about a year ago)",? 85,"17,407",
Counter-Strike,Valve,Valve,"November 1, 2000 ??08:00:00 UTC (19 years ago)",? 96,"17,802",
Black Desert Online,Pearl Abyss,Kakao Games Europe B.V.,"May 24, 2017 ??16:00:00 UTC (3 years ago)",? 69,"16,187",
Conan Exiles,Funcom,Funcom,"May 8, 2018 ??10:40:00 UTC (2 years ago)",? 73,"15,812",
RimWorld,Ludeon Studios,Ludeon Studios,"October 17, 2018 ??14:46:00 UTC (about a year ago)",? 96,"14,771",
Total War: THREE KINGDOMS,CREATIVE ASSEMBLY,SEGA,"May 23, 2019 ??07:00:00 UTC (8 months ago)",? 82,"13,845",
eFootball PES 2020,Store Name eFootball PES 2020,"Developer
Konami Digital Entertainment","September 10, 2019 ??17:00:00 UTC (4 months ago)",? 67,"13,734",
Brawlhalla,Blue Mammoth Games,Ubisoft,"October 17, 2017 ??17:01:00 UTC (2 years ago)",? 83,"16,917",
DARK SOULS??III,"FromSoftware, Inc.","FromSoftware, Inc.","April 11, 2016 ??22:00:00 UTC (4 years ago)",? 91,"13,287",
Dota Underlords,Valve,Valve,"June 20, 2019 ??19:00:00 UTC (7 months ago)",? 83,"12,967",
Stellaris,Paradox Development Studio,Paradox Interactive,"May 9, 2016 ??15:57:00 UTC (4 years ago)",? 81,"12,786",
Assassin's Creed Odyssey,Store Name Assassin's Creed® Odyssey,"Developer
Ubisoft Quebec","October 5, 2018 ??16:00:00 UTC (about a year ago)",? 85,"12,274",
Factorio,Wube Software LTD.,Wube Software LTD.,"February 25, 2016 ??19:00:16 UTC (4 years ago)",? 96,"12,250",
World of Warships,Wargaming Group Limited,Wargaming Group Limited,"November 15, 2017 ??08:05:00 UTC (2 years ago)",? 76,"12,347",
Spacewar,Valve,Telltale Games,NULL,"12,132","12,132",
Divinity: Original Sin 2,Store Name Divinity: Original Sin 2 - Definitive Edition,"Developer
Larian Studios","September 14, 2017 ??15:12:00 UTC (2 years ago)",? 94,"11,228",
Mount & Blade: Warband,TaleWorlds Entertainment,TaleWorlds Entertainment,"March 31, 2010 ??16:00:00 UTC (10 years ago)",? 95,"11,120",
The Elder Scrolls V: Skyrim,Bethesda Game Studios,Bethesda Softworks,NULL,? 93,"11,087",
Human: Fall Flat,No Brakes Games,Curve Digital,"July 22, 2016 ??16:58:02 UTC (3 years ago)",? 92,"10,873",
Space Engineers,Keen Software House,Keen Software House,"February 28, 2019 ??17:59:00 UTC (11 months ago)",? 86,"11,841",
FINAL FANTASY XIV Online,Square Enix,Square Enix,"February 18, 2014 ??18:00:00 UTC (6 years ago)",? 84,"14,196",
Transport Fever 2,Urban Games,Good Shepherd Entertainment,"December 11, 2019 ??09:01:00 UTC (about a month ago)",? 79,"9,872",
Sekiro?? Shadows Die Twice,FromSoftware,Activision (Excluding Japan and Asia),"March 22, 2019 ??04:00:00 UTC (10 months ago)",? 91,"9,913",
The Forest,Endnight Games Ltd,Endnight Games Ltd,"April 30, 2018 ??16:58:17 UTC (2 years ago)",? 92,"9,587",
VRChat,VRChat Inc.,VRChat Inc.,"February 1, 2017 ??21:59:00 UTC (3 years ago)",? 88,"11,454",
Raft,Redbeet Interactive,Axolot Games,"May 23, 2018 ??17:00:00 UTC (2 years ago)",? 85,"9,530",
Crusader Kings II,Paradox Development Studio,Paradox Interactive,"February 14, 2012 ??18:00:00 UTC (8 years ago)",? 87,"9,730",
SMITE,Store Name SMITE®,"Developer
Titan Forge Games","September 8, 2015 ??10:44:00 UTC (4 years ago)",? 79,"14,368",
Age of Empires II (2013),Skybox Labs,Xbox Game Studios,"April 10, 2013 (7 years ago)",? 93,"9,555",
Oxygen Not Included,Klei Entertainment,Klei Entertainment,"July 30, 2019 ??16:50:52 UTC (5 months ago)",? 93,"8,788",
Risk of Rain 2,Hopoo Games,Gearbox Publishing,"March 28, 2019 ??16:00:00 UTC (10 months ago)",? 94,"10,936",
Slay the Spire,Mega Crit Games,Mega Crit Games,"January 23, 2019 ??15:50:00 UTC (12 months ago)",? 95,"8,590",
Company of Heroes 2,Relic Entertainment,SEGA,"June 25, 2013 ??17:00:00 UTC (7 years ago)",? 75,"8,585",
Planet Zoo,Frontier Developments,Frontier Developments,"November 5, 2019 ??12:02:00 UTC (2 months ago)",? 85,"8,387",
Dying Light,Techland,Techland Publishing,"January 27, 2015 ??07:58:00 UTC (5 years ago)",? 92,"8,199",
Total War: ROME II - Emperor Edition,Store Name Total War?? ROME II - Emperor Edition,"Developer
CREATIVE ASSEMBLY","September 3, 2013 ??07:00:00 UTC (6 years ago)",? 72,"7,766",
Ring of Elysium,Aurora Studio,TCH Scarlet Limited,"June 24, 2019 ??16:59:00 UTC (7 months ago)",? 75,"8,041",
The Binding of Isaac: Rebirth,"Nicalis, Inc.","Nicalis, Inc.","November 4, 2014 ??18:36:00 UTC (5 years ago)",? 96,"7,266",
Elite Dangerous,Frontier Developments,Frontier Developments,"April 2, 2015 ??13:54:00 UTC (5 years ago)",? 72,"7,969",
Grim Dawn,Crate Entertainment,Crate Entertainment,"February 25, 2016 ??18:00:21 UTC (4 years ago)",? 90,"6,955",
ATLAS,Grapeshot Games,Grapeshot Games,"December 22, 2018 ??20:00:00 UTC (about a year ago)",? 43,"7,906",
Bloons TD 6,Ninja Kiwi,Ninja Kiwi,"December 18, 2018 ??00:54:35 UTC (about a year ago)",? 91,"7,352",
No Man's Sky,Hello Games,Hello Games,"August 12, 2016 ??16:57:00 UTC (3 years ago)",? 58,"6,839",
NBA 2K19,Visual Concepts,2K,"September 11, 2018 ??04:00:00 UTC (about a year ago)",? 38,"6,633",
Shadowverse,Store Name Shadowverse CCG,"Developer
Cygames, Inc.","October 28, 2016 ??05:56:06 UTC (3 years ago)",? 73,"6,563",
The Witcher: Enhanced Edition,Store Name The Witcher: Enhanced Edition Director's Cut,"Developer
CD PROJEKT RED","September 16, 2008 ??07:00:00 UTC (11 years ago)",? 86,"6,454",
Counter-Strike: Source,Valve,Valve,"November 1, 2004 ??08:00:00 UTC (15 years ago)",? 94,"7,069",
Hunt: Showdown,Crytek,Crytek,"August 27, 2019 ??12:30:00 UTC (5 months ago)",? 77,"7,280",
XCOM 2,Store Name XCOM® 2,"Developer
Firaxis Games","February 5, 2016 ??05:00:00 UTC (4 years ago)",? 82,"6,052",
Football Manager 2018,Sports Interactive,SEGA,"November 9, 2017 ??23:00:00 UTC (2 years ago)","5,959","5,959",
Borderlands 2,Gearbox Software,2K,"September 18, 2012 (7 years ago)",? 92,"5,941",
Yu-Gi-Oh! Duel Links,Konami Digital Entertainment,Konami Digital Entertainment,"November 17, 2017 ??04:49:00 UTC (2 years ago)",? 79,"5,898",
Kenshi,Lo-Fi Games,Lo-Fi Games,"December 6, 2018 ??11:57:36 UTC (about a year ago)",? 90,"5,751",
Geometry Dash,RobTop Games,RobTop Games,"December 22, 2014 ??18:31:00 UTC (5 years ago)",? 93,"5,673",
Killing Floor 2,Tripwire Interactive,Tripwire Interactive,"November 18, 2016 ??14:08:00 UTC (3 years ago)",? 86,"5,649",
Halo: The Master Chief Collection,343 Industries,Xbox Game Studios,"December 3, 2019 ??18:00:00 UTC (about a month ago)",? 90,"12,601",
Hollow Knight,Team Cherry,Team Cherry,"February 24, 2017 ??18:00:00 UTC (3 years ago)",? 94,"5,394",
The Isle,Afterthought LLC,Afterthought LLC,"December 2, 2015 ??03:27:00 UTC (4 years ago)",? 75,"5,796",
MORDHAU,Triternion,Triternion,"April 29, 2019 ??16:59:00 UTC (9 months ago)",? 81,"6,752",
Serial Cleaner,Draw Distance,Curve Digital,"July 14, 2017 ??17:11:51 UTC (2 years ago)",? 81,"5,313",
NGU IDLE,4G,4G,"October 1, 2019 ??11:34:55 UTC (3 months ago)",? 91,"5,441",
Far Cry 5,Store Name Far Cry® 5,"Developer
Ubisoft Montreal","March 27, 2018 (2 years ago)",? 71,"5,182",
Idle Champions of the Forgotten Realms,Codename Entertainment Inc.,Codename Entertainment Inc.,"September 7, 2017 ??19:31:00 UTC (2 years ago)",? 80,"5,185",
Crossout,Targem Games,Gaijin Entertainment,"July 27, 2017 ??01:02:00 UTC (2 years ago)",? 70,"5,052",
The Sims(TM) 3,Store Name The Sims??3,"Developer
The Sims Studio","June 2, 2009 (11 years ago)",? 81,"4,865",
EVE Online,CCP,CCP,"December 16, 2010 ??02:52:00 UTC (9 years ago)",? 74,"4,850",
Heroes & Generals,RETO MOTO,RETO MOTO,"October 18, 2016 ??08:00:00 UTC (3 years ago)",? 66,"4,770",
Black Squad,NS STUDIO,NS STUDIO,"June 26, 2019 ??14:35:10 UTC (7 months ago)",? 76,"4,756",
Portal 2,Valve,Valve,"April 19, 2011 (9 years ago)",? 97,"4,611",
TEKKEN 7,BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,"June 1, 2017 ??21:59:00 UTC (3 years ago)",? 83,"4,515",
Middle-earth?? Shadow of War??Monolith Productions,WB Games,"October 10, 2017 ??17:00:00 UTC (2 years ago)",? 80,"4,521",,
Black Desert,Pearl Abyss,Pearl Abyss,"May 17, 2018 ??03:14:00 UTC (2 years ago)",? 66,"4,478",
Amazing Cultivation Simulator / 了不起的�?��模拟??Store Name Amazing Cultivation Simulator,"Developer
GSQ Games","January 11, 2019 ??05:52:57 UTC (about a year ago)",? 74,"4,532",,
Hades,Supergiant Games,Supergiant Games,"December 10, 2019 ??17:06:06 UTC (about a month ago)",? 95,"4,416",
They Are Billions,Numantian Games,Numantian Games,"June 18, 2019 ??16:24:32 UTC (7 months ago)",? 82,"4,415",
Kerbal Space Program,Squad,Private Division,"April 27, 2015 ??17:05:00 UTC (5 years ago)",? 90,"4,397",
Darkest Dungeon®,Red Hook Studios,Red Hook Studios,"January 19, 2016 ??17:59:00 UTC (4 years ago)",? 87,"4,385",
SCP: Secret Laboratory,Northwood Studios,Northwood Studios,"December 29, 2017 ??16:00:14 UTC (2 years ago)",? 87,"4,357",
The Witcher 2: Assassins of Kings Enhanced Edition,CD PROJEKT RED,CD PROJEKT RED,"April 17, 2012 ??01:39:00 UTC (8 years ago)",? 87,"4,334",
Kingdom Come: Deliverance,Warhorse Studios,Warhorse Studios,"February 13, 2018 ??08:01:00 UTC (2 years ago)",? 77,"4,338",
American Truck Simulator,SCS Software,SCS Software,"February 2, 2016 ??17:20:00 UTC (4 years ago)",? 92,"4,900",
Total War: MEDIEVAL II - Definitive Edition,Store Name Total War: MEDIEVAL II ??Definitive Edition,"Developer
CREATIVE ASSEMBLY","November 15, 2006 ??18:00:00 UTC (13 years ago)",? 92,"4,451",
Subnautica,Unknown Worlds Entertainment,Unknown Worlds Entertainment,"January 24, 2018 ??02:50:00 UTC (2 years ago)",? 93,"4,286",
Assetto Corsa,Kunos Simulazioni,Kunos Simulazioni,"December 19, 2014 ??08:48:00 UTC (5 years ago)",? 86,"4,693",
Russian Fishing 4,Russian Fishing,Russian Fishing,"June 15, 2018 ??13:00:51 UTC (2 years ago)",? 68,"4,170",
Endless Space,Store Name Endless Space® - Collection,"Developer
AMPLITUDE Studios","July 4, 2012 ??17:00:00 UTC (8 years ago)",? 78,"7,993",
Post Scriptum,Periscope Games,Offworld Industries,"August 9, 2018 ??16:00:00 UTC (about a year ago)",? 69,"4,784",
SCUM,Gamepires,Gamepires,"August 29, 2018 ??15:57:00 UTC (about a year ago)",? 67,"4,458",
BeamNG.drive,BeamNG,BeamNG,"May 29, 2015 ??16:06:09 UTC (5 years ago)",? 91,"4,047",
"STAR WARS Jedi: Fallen Order??Store Name STAR WARS Jedi: Fallen Order??""Developer",,,,,,
"Respawn Entertainment""","November 15, 2019 ??08:00:00 UTC (2 months ago)",? 90,"4,516",,,
BATTLETECH,Harebrained Schemes,Paradox Interactive,"April 24, 2018 ??15:59:00 UTC (2 years ago)",? 76,"4,213",
Total War: ATTILA,CREATIVE ASSEMBLY,SEGA,"February 17, 2015 ??08:00:00 UTC (5 years ago)",? 74,"3,917",
Squad,Offworld Industries,Offworld Industries,"December 15, 2015 ??07:59:00 UTC (4 years ago)",? 82,"4,452",
Albion Online,Sandbox Interactive GmbH,Sandbox Interactive GmbH,"May 16, 2018 ??12:45:45 UTC (2 years ago)",? 68,"4,131",
Football Manager 2017,Sports Interactive,SEGA,"November 3, 2016 ??23:00:00 UTC (3 years ago)",? 56,"3,593",
RESIDENT EVIL 2 / BIOHAZARD RE:2,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","January 25, 2019 ??05:01:12 UTC (12 months ago)",? 95,"3,542",
Soundpad,Leppsoft,Leppsoft,"September 30, 2017 ??17:55:18 UTC (2 years ago)",? 93,"3,833",
Surviving Mars,Haemimont Games,Paradox Interactive,"March 15, 2018 ??17:00:00 UTC (2 years ago)",? 77,"3,664",
theHunter: Call of the Wild??Expansive Worlds,Avalanche Studios,"February 16, 2017 ??09:40:00 UTC (3 years ago)",? 80,"3,284",,
Starbound,Chucklefish,Chucklefish,"July 22, 2016 ??16:32:00 UTC (3 years ago)",? 91,"3,271",
Total War: EMPIRE - Definitive Edition,Store Name Total War: EMPIRE ??Definitive Edition,"Developer
CREATIVE ASSEMBLY","March 4, 2009 ??08:00:00 UTC (11 years ago)",? 87,"3,439",
Don't Starve,Klei Entertainment,Klei Entertainment,NULL,? 95,"3,403",
Lords Mobile,IGG SINGAPORE PTE. LTD.,IGG SINGAPORE PTE. LTD.,"June 3, 2019 ??05:57:29 UTC (7 months ago)",? 68,"3,238",
Warhammer: Vermintide 2,Fatshark,Fatshark,"March 8, 2018 ??18:00:00 UTC (2 years ago)",? 75,"3,439",
STAR WARS??Empire at War: Gold Pack,Store Name STAR WARS??Empire at War - Gold Pack,"Developer
Petroglyph","May 26, 2010 ??00:58:00 UTC (10 years ago)",? 93,"3,673",
The Long Dark,Hinterland Studio Inc.,Hinterland Studio Inc.,"August 1, 2017 ??14:57:00 UTC (2 years ago)",? 90,"3,110",
太吾绘卷 The Scroll Of Taiwu,ConchShip Games,ConchShip Games,"September 20, 2018 ??16:01:09 UTC (about a year ago)",? 85,"3,165",
Assassin's Creed Origins,Store Name Assassin's Creed® Origins,"Developer
Ubisoft Montreal","October 27, 2017 ??04:00:00 UTC (2 years ago)",? 83,"3,072",
Clicker Heroes,Playsaurus,Playsaurus,"May 14, 2015 ??01:05:00 UTC (5 years ago)",? 88,"3,069",
ASTRONEER,System Era Softworks,System Era Softworks,"February 6, 2019 ??05:00:34 UTC (11 months ago)",? 86,"3,033",
F1 2019,Store Name F1® 2019,"Developer
Codemasters","June 27, 2019 ??15:02:00 UTC (7 months ago)",? 85,"3,020",
Rise of the Tomb Raider,"Store Name Rise of the Tomb Raider??""Developer",,,,,
"Crystal Dynamics""","January 28, 2016 ??17:00:00 UTC (4 years ago)",? 91,"3,061",,,
HITMAN??2,IO Interactive A/S,Warner Bros Interactive Entertainment,"November 13, 2018 ??18:00:00 UTC (about a year ago)",? 87,"2,999",
Shadow of the Tomb Raider,Store Name Shadow of the Tomb Raider: Definitive Edition,"Developer
Eidos-Montréal","September 14, 2018 ??16:00:00 UTC (about a year ago)",? 75,"2,966",
Street Fighter V,Capcom,Capcom,"February 16, 2016 ??05:00:00 UTC (4 years ago)",? 53,"2,887",
Fallout: New Vegas,Obsidian Entertainment,Bethesda Softworks,NULL,? 94,"3,766",
Hurtworld,Bankroll Studios,Bankroll Studios,"December 10, 2019 ??18:05:01 UTC (about a month ago)",? 74,"2,834",
Age of Empires® III: Complete Collection,Ensemble Studios,Xbox Game Studios,NULL,? 87,"3,110",
My Time At Portia,Pathea Games,Team17 Digital Ltd,"January 15, 2019 ??09:03:00 UTC (12 months ago)",? 89,"2,825",
Deep Rock Galactic,Ghost Ship Games,Coffee Stain Publishing,"February 28, 2018 ??08:00:00 UTC (2 years ago)",? 93,"3,383",
Trove,Trion Worlds,Trion Worlds,"July 9, 2015 ??17:00:00 UTC (5 years ago)",? 77,"2,796",
Northgard,Shiro Games,Shiro Games,"March 7, 2018 ??14:58:19 UTC (2 years ago)",? 83,"2,729",
DARK SOULS?? REMASTERED,QLOC,"FromSoftware, Inc","May 23, 2018 ??22:53:00 UTC (2 years ago)",? 76,"2,711",
Overcooked! 2,Ghost Town Games Ltd.,Team17 Digital Ltd,"August 7, 2018 ??16:01:00 UTC (about a year ago)",? 84,"2,769",
Dead Cells,Motion Twin,Motion Twin,"August 6, 2018 ??21:56:00 UTC (about a year ago)",? 94,"2,760",
Total War: SHOGUN 2,The Creative Assembly,Supported Systems STEAMPLAY,NULL,"2,620","2,647",
Overcooked! 2,Ghost Town Games Ltd.,Team17 Digital Ltd,"August 7, 2018 ??16:01:00 UTC (about a year ago)",? 84,"2,769",
Mortal Kombat 11,Store Name Mortal Kombat 11,"Developer
NetherRealm Studios","April 23, 2019 ??17:00:00 UTC (9 months ago)",? 76,"2,599",
DARK SOULS??II: Scholar of the First Sin,"FromSoftware, Inc",BANDAI NAMCO Entertainment,"April 1, 2015 ??22:00:00 UTC (5 years ago)",? 85,"2,579",
Frostpunk,11 bit studios,11 bit studios,"April 24, 2018 ??13:02:00 UTC (2 years ago)",? 87,"2,583",
Tabletop Simulator,Berserk Games,Berserk Games,"June 5, 2015 ??19:57:28 UTC (5 years ago)",? 93,"4,323",
X-Plane 11,Laminar Research,Laminar Research,"March 30, 2017 ??18:55:00 UTC (3 years ago)",? 84,"2,538",
Insurgency: Sandstorm,New World Interactive,Focus Home Interactive,"December 12, 2018 ??17:00:00 UTC (about a year ago)",? 79,"2,556",
DEAD OR ALIVE Xtreme Venus Vacation,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",NULL,? 77,"2,582",
Car Mechanic Simulator 2018,Red Dot Games,PlayWay S.A.,"July 28, 2017 ??14:30:00 UTC (2 years ago)",? 81,"2,476",
SD GUNDAM G GENERATION CROSS RAYS,TOM CREATE,BANDAI NAMCO Entertainment,"November 27, 2019 ??22:55:38 UTC (about a month ago)",? 83,"2,500",
Two Point Hospital,Two Point Studios,SEGA,"August 30, 2018 ??06:00:00 UTC (about a year ago)",? 86,"2,449",
Totally Accurate Battle Simulator,Landfall,Landfall,"April 1, 2019 ??11:02:00 UTC (10 months ago)",? 94,"2,446",
Just Cause 3,Store Name Just Cause??3,"Developer
Avalanche Studios","December 1, 2015 ??00:02:00 UTC (4 years ago)",? 75,"2,481",
House Flipper,Empyrean,Frozen District,"May 17, 2018 ??14:58:21 UTC (2 years ago)",? 83,"2,412",
Conqueror's Blade,Booming Games,MY.GAMES,"May 30, 2019 ??17:00:00 UTC (8 months ago)",? 64,"2,907",
DOOM,id Software,Bethesda Softworks,"May 13, 2016 ??04:00:00 UTC (4 years ago)",? 92,"2,365",
Farming Simulator 17,Giants Software,Giants Software,"October 24, 2016 ??21:56:00 UTC (3 years ago)",? 89,"2,350",
The Crew 2,Store Name The Crew??2,"Developer
Ivory Tower","June 29, 2018 ??04:00:00 UTC (2 years ago)",? 68,"2,375",
METAL GEAR SOLID V: THE PHANTOM PAIN,Konami Digital Entertainment,Konami Digital Entertainment,"September 1, 2015 ??04:00:00 UTC (4 years ago)",? 88,"2,322",
Graveyard Keeper,Lazy Bear Games,tinyBuild,"August 15, 2018 ??15:15:00 UTC (about a year ago)",? 80,"2,283",
Train Simulator,Store Name Train Simulator 2020,"Developer
Dovetail Games","September 17, 2015 ??16:00:00 UTC (4 years ago)",? 63,"2,269",
Call of Duty: Black Ops III,Store Name Call of Duty®: Black Ops III,"Developer
Treyarch","November 6, 2015 ??05:00:00 UTC (4 years ago)",? 65,"2,733",
ArcheAge: Unchained,XLGAMES,Trion Worlds,"October 17, 2019 ??18:00:55 UTC (3 months ago)",? 67,"2,483",
Beat Saber,Beat Games,Beat Games,"May 21, 2019 ??20:55:00 UTC (8 months ago)",? 93,"2,884",
Men of War: Assault Squad 2,Digitalmindsoft,1C Entertainment,"May 15, 2014 ??19:00:00 UTC (6 years ago)",? 85,"2,238",
Deceit,Baseline,Baseline,"March 3, 2017 ??21:56:00 UTC (3 years ago)",? 77,"2,261",
Sniper Elite 4,Rebellion,Rebellion,NULL,? 85,"2,201",
Scrap Mechanic,Axolot Games,Axolot Games,"January 20, 2016 ??07:58:00 UTC (4 years ago)",? 86,"2,209",
Heroes of Might & Magic III - HD Edition,Store Name Heroes® of Might & Magic® III - HD Edition,"Developer
DotEmu","January 29, 2015 ??15:12:00 UTC (5 years ago)",? 69,"2,178",
CODE VEIN,BANDAI NAMCO Studios,BANDAI NAMCO Entertainment,"September 26, 2019 ??22:00:00 UTC (4 months ago)",? 88,"2,171",
Empyrion - Galactic Survival,Eleon Game Studios,Eleon Game Studios,"August 5, 2015 ??16:00:00 UTC (4 years ago)",? 78,"2,239",
CODE VEIN,BANDAI NAMCO Studios,BANDAI NAMCO Entertainment,"September 26, 2019 ??22:00:00 UTC (4 months ago)",? 88,"2,171",
Total War: WARHAMMER,CREATIVE ASSEMBLY,SEGA,"May 24, 2016 ??07:00:00 UTC (4 years ago)",? 74,"2,119",
Shakes and Fidget Remastered,Playa Games GmbH,Playa Games GmbH,"November 22, 2018 ??10:37:16 UTC (about a year ago)",? 89,"2,110",
Realm Royale,Heroic Leap Games,Hi-Rez Studios,"June 5, 2018 ??13:02:00 UTC (2 years ago)",? 68,"2,175",
Plants vs. Zombies: Game of the Year,Store Name Plants vs. Zombies GOTY Edition,"Developer
PopCap Games, Inc.","May 5, 2009 ??07:00:00 UTC (11 years ago)",? 94,"2,281",
